,OperatingUnit,AASpecialist,AwardTitle,AwardDescription,Sector,Code,AmountRange,Incumbent,AwardActionType,SmallBusinessSetAside,FiscalYearofAction,AnticipatedAwardDate_raw,AnticipatedSolicitationReleaseDate_raw,AwardLength,SolicitationNumber,BusinessForecastStatusChange,Location,LastModifiedDate_raw,BaseAmount,CeilingAmount,AnticpatedAwardDate,AnticipatedSolicitationReleaseDate,LastModifiedDate
156,South Sudan,Michael Loro,Life Support Services Contract,"The purpose of the contract is for the Contractor to provide essential life support services to the U.S. Mission to South Sudan.  Life Support Services are divided into four main categories:  Hospitality/Housekeeping, Food Service, Facilities Maintenance, and Procurement and Logistics.",Management,,$10M - $24.99M,BMMI,Contract,,2019.0,12/13/2018,3/30/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,2/26/2018,10000000.0,24990000.0,2018-12-13,2018-03-30,2018-02-26
157,South Sudan,"Bully, Warran",Partner Liaison Office,"Partner Liaison Office;

On July 11, 2016 South Sudanese troops, fresh from winning a battle in the capital, Juba, over opposition forces, went on a nearly four-hour rampage through a residential compound popular with foreigners, in one of the worst targeted attacks on aid workers in South Sudan’s three-year civil war. The South Sudanese troops fatally shot a local journalist while forcing the foreigners to watch, raped several foreign women, singled out Americans, beat and robbed people and carried out mock executions. Since July 10, 2016, a Department of State cable approved an ordered departure (OD) from Juba of employees not considered to occupy positions that are essential in an emergency situation (nonemergency employees). As per Department of State Standardized Regulations (DSSR) 636, “[n]ot later than 180 days after the evacuation order is issued, an employee must be returned to the regular post of assignment, or appropriate action must be taken to reassign the employee to another post.” Thus, the Mission anticipates the return of some nonemergency employees as well as implementing partner American citizen (AMCIT) and third country national (TCN) staff under Chief of Mission (COM) authority on or about January 06, 2017.

An important responsibility of the U.S. Embassy during an ongoing threat or attack is to share information with U.S. citizens and assist individuals and organizations implementing U.S. Government programs. In providing assistance to private U.S. citizens during a crisis, the Embassy coordinates with host nation government to respond to emergency situations and protect U.S. citizens. In some high-risk locations, USAID has established PLSOs, which provide continuous information and related security support to USAID’s implementing partners in those countries, and develop and deliver security training courses. Further, the Department of State and USAID have developed policies and standards to comply with Section 846 of the National Defense Authorization Act of Fiscal Year 2013 (P.L. 112-239) and incorporates FAR clause 52.225-19 into contracts operating in countries where it is applicable.",Working in Crises and Conflict,,$1M - $3.99M,WS Insight,Contract,,2019.0,1/31/2019,11/30/2018,1 year,,Combination of Changes,Overseas,3/01/2018,1000000.0,3900000.0,2019-01-31,2018-11-30,2018-03-01
158,South Sudan,Brian K. Woody,Promoting Civic Engagement and Peace (PCEP),"This new activity will build on the previous VISTAS, SUCCESS, and Reconciliation for Peace programs, promoting community-level conflict mitigation, citizen engagement and peace building initiatives through quick-acting activities.","Democracy, Human Rights, and Governance",,$50M - $99.99M,AECOM,Contract,,2019.0,11/30/2018,4/30/2018,5 years,720668-18-R-00002,Combination of Changes,Overseas,3/01/2018,50000000.0,99990000.0,2018-11-30,2018-04-30,2018-03-01
159,Tanzania,Oddo Linuma,Malaria Bednet Delivery,This activity will maintain high level of coverage and use of long-lasting insecticide-treated mosquito nets (ITNs).,Global Health,,$25M - $49.99M,TBD,Contract,,2018.0,12/04/2018,5/08/2018,5 years,,Change in Award Type,Overseas,3/02/2018,25000000.0,49990000.0,2018-12-04,2018-05-08,2018-03-02
160,Tanzania,Agnes Ng'anga,Multi-Sectoral Nutrition Support Activity,"Local Government Authorities (LGAs) to household level nutrition support, with WASH, Agriculture, and Family Planning elements.",Agriculture and Food Security,,$10M - $24.99M,Africare,To Be Determined (TBD),,2018.0,7/31/2018,4/17/2018,4 years,,,Overseas,3/02/2018,10000000.0,24990000.0,2018-07-31,2018-04-17,2018-03-02
161,Tanzania,Samuel Kiranga,Tanzania Infrastructure Support Activity (TISA),"The purpose of this Task Order is to acquire the services of a qualified engineering firm to provide professional engineering consulting services in support of USAID/Tanzania, Power Africa, and the Government of Tanzania’s (GoT) infrastructure priorities in the areas of power, transportation, and water projects.",Economic Growth and Trade,,$10M - $24.99M,TBD,Task Order/Delivery Order (TO/DO),,2018.0,7/03/2018,5/04/2018,5 years,,,Overseas,3/02/2018,10000000.0,24990000.0,2018-07-03,2018-05-04,2018-03-02
162,Tunisia,Seilkhan Yeleussizov,Tunisia Youth and Community Resilience,​The activity applies a community-led approach t​o address​​ youth and ​community needs and build community resilience. ​The activity will support communities in​ ​creating alternative pathways for youth through activities that​ ​intentionally engaging youth within their communities to​ ​promote positive outcomes.,"Democracy, Human Rights, and Governance",,$25M - $49.99M,,Cooperative Agreement,,2018.0,9/21/2018,3/01/2018,5 years,TBD,Combination of Changes,Overseas,11/29/2017,25000000.0,49990000.0,2018-09-21,2018-03-01,2017-11-29
163,Uganda,Janepher Nabitosi,Strengthening Citizens' Engagement in Elections (SCENE),This activity will engage local organizations with the purpose of strengthening Ugandan civil society.,"Democracy, Human Rights, and Governance",541990.0,"$500,000 - $999,999",None,Grant,,2018.0,9/30/2018,4/13/2018,,,Combination of Changes,Overseas,3/02/2018,500000.0,999999.0,2018-09-30,2018-04-13,2018-03-02
164,Uganda,Janepher Nabitosi,USAID/Uganda Learning Activity,"The purpose of the Contract is to strengthen the performance of USAID/Uganda and its Implementing Partners in collaborating, learning and adapting in order to improve the relevance, quality and sustainability of USAID-supported contributions to Uganda’s development.",Management,541990.0,$50M - $99.99M,QED,Contract,,2018.0,8/31/2018,1/30/2018,5 years,72061718R00008,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,50000000.0,99990000.0,2018-08-31,2018-01-30,2018-03-02
165,Uganda,Carol Ssekandi,Uganda Health Systems Strengthening (UHSS),"The purpose the Uganda Health Systems Strengthening (UHSS) activity is to improve the functionality of the Ugandan health systems by focusing on key public and private sector institutions and community structures at national, district, facility, and community levels. As USAID Uganda’s flagship health systems strengthening activity, UHSS will maximize the impact of investments made by the Government of Uganda (GoU), the United States Government (USG), and other donors in the sector. This will be achieved by improving leadership and accountability for results, increasing domestic health financing and efficient use of key health resources; and increasing citizen participation and engagement.",Global Health,541990.0,$25M - $49.99M,None,Contract,,2018.0,12/07/2018,3/16/2018,5 years,72061718R00009,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,25000000.0,49990000.0,2018-12-07,2018-03-16,2018-03-02
166,Ukraine,"Orlova, Marina",ODG: Donbas Activity,"This activity will promote inclusive civic identity and common civic values by addressing the divisive impacts of Russian aggression, Ukrainian ultra-nationalism, and the consequences of ongoing armed conflict. The activity will promote civic awareness, social and economic entrepreneurship, and improve democratic engagement between citizens and government institutions as well as improve community services in areas most affected by these divisive influences.","Democracy, Human Rights, and Governance",,$50M - $99.99M,,To Be Determined (TBD),,2018.0,9/30/2018,4/01/2018,5 years,,,Overseas,2/28/2018,50000000.0,99990000.0,2018-09-30,2018-04-01,2018-02-28
167,Ukraine,"Orlova, Marina",ODG: New Media Activity,New Media Activity,"Democracy, Human Rights, and Governance",,$25M - $49.99M,,To Be Determined (TBD),,2018.0,9/30/2018,3/15/2018,,,,Overseas,2/20/2018,25000000.0,49990000.0,2018-09-30,2018-03-15,2018-02-20
168,Ukraine,"Parinova, Elena",OEG: Ukraine Economic Resilience Activity,The purpose is to increase stability in Eastern Ukraine by facilitating an economic transformation in the Donbas in which new businesses develop in industries with growing prospects; old businesses direct their energies toward new and growing markets; the small business community expands and diversifies and has an active roll in local policy formulation; citizens develop skills for the jobs of the future; and the economy of the Donbas is more closely integrated with the national economy of Ukraine.,Economic Growth and Trade,,$50M - $99.99M,,Contract,,2018.0,9/21/2018,3/23/2018,5 years,,Change in Award Title,Overseas,2/28/2018,50000000.0,99990000.0,2018-09-21,2018-03-23,2018-02-28
169,Vietnam,Hoang Thi Nhu Hoa,"""Sustainable Model for Improving the Inclusion of Persons with Disabilities"" Program","""Sustainable Model for Improving the Inclusion of Persons with Disabilities"" Program","Democracy, Human Rights, and Governance",,$10M - $24.99M,TBD,Grant,,2018.0,7/02/2018,1/08/2018,,72044018RFA00001,,Overseas,1/08/2018,10000000.0,24990000.0,2018-07-02,2018-01-08,2018-01-08
170,Vietnam,Van Trinh,LinkSME,SMEs Linkages to Global Value Chain,Economic Growth and Trade,,$10M - $24.99M,None.,Contract,,2018.0,8/22/2018,2/05/2018,5 years,TBD,Combination of Changes,Overseas,3/04/2018,10000000.0,24990000.0,2018-08-22,2018-02-05,2018-03-04
171,Vietnam,Trinh Tuong Van,Local SI Follow-on,To strengthen local capacity on strategic information in responding to HIV/AIDS epidemic.,Global Health,,$1M - $3.99M,TBD,Contract,,2018.0,8/31/2018,2/28/2018,5 years,TBD,Change in Award Type,Overseas,3/01/2018,1000000.0,3900000.0,2018-08-31,2018-02-28,2018-03-01
172,Vietnam,Van Trinh,Trade Facilitation Program (TFP),Trade Facilitation Program,Economic Growth and Trade,,$10M - $24.99M,None.,Contract,,2018.0,6/07/2018,1/31/2018,5 years,,Combination of Changes,Overseas,3/02/2018,10000000.0,24990000.0,2018-06-07,2018-01-31,2018-03-02
173,West Bank/Gaza,Sandy Sakran,2018 Conflict Mitigation and Management Annual Program Statement,"Multiple awards. This APS supports “people-to-people"" conflict mitigation and reconciliation programs and activities which bring together individuals of different ethnic, religious or political backgrounds from areas of civil conflict, national conflict and war. These programs will provide opportunities for adversaries to address issues, reconcile differences, promote greater understanding and mutual trust and work on common goals or solve shared issues with regard to potential, ongoing, or recent conflict. Awards from this 2018 APS will be made in 2019: the USAID/WBG CMM is an 18 month award life-cycle due to special interagency approval process.",Working in Crises and Conflict,,$4M - $9.99M,,Cooperative Agreement,,2019.0,9/30/2019,4/20/2018,,,,Overseas,11/01/2017,4000000.0,9999000.0,2019-09-30,2018-04-20,2017-11-01
174,West Bank/Gaza,Nevine Zakariya,Competitiveness Enhancement Project,Increase private sector led economic growth in the West Bank and Gaza.,Economic Growth and Trade,,$25M - $49.99M,TBD,Contract,TBD,2018.0,9/29/2018,3/16/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,25000000.0,49990000.0,2018-09-29,2018-03-16,2018-03-02
175,West Bank/Gaza,Linda Maher,"Facilitating Access for Sustainable Trade, Revenue, and Commerce (FASTRAC)","Facilitating Access for Sustainable Trade, Revenue, and Commerce (FASTRAC).",Economic Growth and Trade,,$25M - $49.99M,,Contract,TBD,2018.0,9/30/2018,3/15/2018,5 years,72029418R00003,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,25000000.0,49990000.0,2018-09-30,2018-03-15,2018-03-02
176,West Bank/Gaza,Shirine Agbarieh,Global Competencies,"USAID’s West Bank and Gaza Mission (USAID/WBG) is issuing this Funding Opportunity to solicit applications for Global Competencies, a five-year Activity. The Global Competencies Activity will work with Palestinian universities, technical colleges, and the private sector to introduce selected 21st century skills and global competencies into learning and teaching to make graduates more competitive in the local, regional and global labor markets. The Activity will also work on building capacity at the selected higher education institutions to provide students with opportunities to enhance their employability, provide career guidance and make them better prepared to engage in the labor market.",Education,,$10M - $24.99M,,Cooperative Agreement,,2018.0,9/14/2018,3/16/2018,5 years,,,Overseas,2/22/2018,10000000.0,24990000.0,2018-09-14,2018-03-16,2018-02-22
177,West Bank/Gaza,Nevine Zakariya,Global Development Alliance Awards,A GDAs for renewable energy projects.  This procurement action will not occur in FY 2018.  Might be considered in FY 2019.,Economic Growth and Trade,,$1M - $3.99M,,Cooperative Agreement,,2019.0,9/29/2019,3/26/2019,3 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,1000000.0,3900000.0,2019-09-29,2019-03-26,2018-03-02
178,West Bank/Gaza,TBD,Multiple water system Task Orders,Multiple water system Task Orders,Water and Sanitation,,$25M - $49.99M,,Task Order/Delivery Order (TO/DO),,2018.0,9/28/2018,7/13/2018,,,,Overseas,2/01/2018,25000000.0,49990000.0,2018-09-28,2018-07-13,2018-02-01
179,West Bank/Gaza,Miada Younis,Positive Youth Engagement,"USAID’s West Bank and Gaza Mission (USAID/WBG) is issuing this Funding Opportunity to solicit applications for Positive Youth Engagement (PYE), a five-year multi-sectoral Youth Activity designed to address the core issues of Palestinian youth development.

The PYE activity will reach vulnerable and marginalized youth aged 10-19 at risk of social marginalization in deprived areas where they live by improving education, health, employment, community involvement (reintegration) and other needs as identified through drivers assessments.

The activity’s goal is to transform vulnerable youth into productive, contributing citizens who are connected to their communities. To achieve this goal, the USAID/WBG Mission and its selected partner will increase opportunities for Palestinian youth to realize their potential and to effectively contribute to social and economic development.",Education,,$25M - $49.99M,,Cooperative Agreement,,2018.0,9/07/2018,12/20/2017,5 years,72029418RFA00001,Combination of Changes,Overseas,12/21/2017,25000000.0,49990000.0,2018-09-07,2017-12-20,2017-12-21
180,Zambia,Charles Nyanoka,Evidence for Health,"USAID/Zambia intends to 1) Strengthen the national Health Management Information System (HMIS) owned and managed by the Government of Zambia’s (GRZ) Ministry of Health (MOH), 2) Improve monitoring, evaluation, and research capacities within key government and non-governmental partners, and 3) Expand the evidence base for existing approaches to health programming in malaria, nutrition, family planning, maternal and child health, and HIV.

Through provisions of key services and accomplishment of key deliverables, this activity will result in the following outcomes: 1) Improved quality, timeliness, accessibility, and use of MOH national, provincial, district, and health facility data, 2) Improved accountability, management for results, and evidence-based decision making at all levels of the health sector, and 3) Expanded research, data, and information needed to strengthen and inform health programming.",Global Health,541990.0,$25M - $49.99M,,Contract,,2018.0,11/26/2018,4/13/2018,5 years,72061118R00006,Combination of Changes,Overseas,3/02/2018,25000000.0,49990000.0,2018-11-26,2018-04-13,2018-03-02
181,Zambia,Alfred Kapambwe,Let's Read Zambia,"Let’s Read Zambia will target approximately 1.4 million students in 4,000 public and community primary schools, including Early Childhood Centers that are clustered in an estimated 400 zones in 48 districts in the provinces of Lusaka, Southern, Muchinga, Eastern, and Northwestern. The Activity will ensure that students attending Grades 1, 2, and 3 in Zambian public and community schools in five targeted provinces will have an opportunity to learn to read grade level text with comprehension and to write at grade level in one of the seven local official languages of instruction: Cinyanja, Chitonga, Icibemba, Kiikaonde, Lunda, Luvale and Silozi after three years of primary schooling in Grades 1-3.",Education,,$25M - $49.99M,,Contract,,2018.0,9/28/2018,3/30/2018,5 years,72061118R00001,Combination of Changes,Overseas,3/02/2018,25000000.0,49990000.0,2018-09-28,2018-03-30,2018-03-02
182,Zimbabwe,Debra Nengomasha,Advancing Accountability and Rights in Zimbabwe (AARZ) (Second Round),"The purpose of the award(s) is to increase social cohesion at the community level in localities traditionally at risk for violence, using community-based structures.","Democracy, Human Rights, and Governance",,$4M - $9.99M,TBD,Cooperative Agreement,,2018.0,6/30/2018,5/15/2018,5 years,,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,4000000.0,9999000.0,2018-06-30,2018-05-15,2018-03-02
183,Zimbabwe,Theresa Peta,BAA Addendum 2 - Cervical Cancer Screening,"Screening, diagnosis and treatment for  cervical cancer in HIV positive women above 30 years old.",Global Health,,$10M - $24.99M,TBA,Broad Agency Announcement (BAA),,2018.0,9/28/2018,5/16/2018,5 years,TBA,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,10000000.0,24990000.0,2018-09-28,2018-05-16,2018-03-02
184,Zimbabwe,Michelle Shirley,Biomedical HIV Prevention for Epidemic Control or BPEC,"Follow on to the PSI SPSS activity, focusing on HIV biomedical prevention strategies including Voluntary Medical Male Circumcision, Pre-Exposure Prophylaxis, condoms, Key Populations and Evidence Generation/Data for Decision-making.""",Global Health,,$50M - $99.99M,PSI,Cooperative Agreement,,2018.0,9/03/2018,4/20/2018,5 years,TBA,New Opportunity Not Previously Forecasted,Overseas,3/02/2018,50000000.0,99990000.0,2018-09-03,2018-04-20,2018-03-02
